priority_rank,sector_name,bhuvan_village_name,bhuvan_gram_panchayat,bhuvan_block_name,bhuvan_district,mean_soc_deficiency_score,bare_soil_ha,high_soc_def_ha,bhuvan_verification_status
1,Arang (B-1),Arang Rural / Chandkhuri,Chandkhuri Gram Panchayat,Arang,Raipur,0.6578,1154.19,944.68,Bhuvan Gazette Verified (Offline Cached)
2,Abhanpur (A-1),Abhanpur / Kendri,Kendri Gram Panchayat,Abhanpur,Raipur,0.6483,1136.79,894.31,Bhuvan Gazette Verified (Offline Cached)
3,Arang (B-2),Nawapara / Rajim Road,Nawapara Gram Panchayat,Arang,Raipur,0.6328,1108.71,818.7,Bhuvan Gazette Verified (Offline Cached)
4,Abhanpur (A-2),Mandir Hasaud,Mandir Hasaud Gram Panchayat,Abhanpur,Raipur,0.6055,576.84,363.02,Bhuvan Gazette Verified (Offline Cached)
5,Raipur Rural (C-1),Mana / Dunda,Dunda Gram Panchayat,Raipur Rural,Raipur,0.5225,780.63,244.32,Bhuvan Gazette Verified (Offline Cached)
6,Raipur Rural (C-2),Raipur Rural (C-2) Village Zone,Raipur Rural (C-2) Panchayat,Raipur Plains,Raipur,0.5124,931.19,245.49,Bhuvan Gazette Verified (Offline Cached)
7,Abhanpur (A-3),Abhanpur (A-3) Village Zone,Abhanpur (A-3) Panchayat,Raipur Plains,Raipur,0.5108,743.79,173.36,Bhuvan Gazette Verified (Offline Cached)
8,Arang (B-3),Arang (B-3) Village Zone,Arang (B-3) Panchayat,Raipur Plains,Raipur,0.4932,617.75,106.28,Bhuvan Gazette Verified (Offline Cached)
9,Arang (B-4),Arang (B-4) Village Zone,Arang (B-4) Panchayat,Raipur Plains,Raipur,0.4828,581.89,61.21,Bhuvan Gazette Verified (Offline Cached)
10,Raipur Rural (C-3),Raipur Rural (C-3) Village Zone,Raipur Rural (C-3) Panchayat,Raipur Plains,Raipur,0.4823,635.74,65.13,Bhuvan Gazette Verified (Offline Cached)
11,Arang (B-5),Arang (B-5) Village Zone,Arang (B-5) Panchayat,Raipur Plains,Raipur,0.4724,949.57,60.69,Bhuvan Gazette Verified (Offline Cached)
12,Raipur Rural (C-4),Raipur Rural (C-4) Village Zone,Raipur Rural (C-4) Panchayat,Raipur Plains,Raipur,0.4713,819.6,31.72,Bhuvan Gazette Verified (Offline Cached)
13,Abhanpur (A-4),Abhanpur (A-4) Village Zone,Abhanpur (A-4) Panchayat,Raipur Plains,Raipur,0.4702,821.26,47.22,Bhuvan Gazette Verified (Offline Cached)
14,Dharsiwa (D-5),Dharsiwa (D-5) Village Zone,Dharsiwa (D-5) Panchayat,Raipur Plains,Raipur,0.4683,771.47,37.6,Bhuvan Gazette Verified (Offline Cached)
15,Abhanpur (A-5),Abhanpur (A-5) Village Zone,Abhanpur (A-5) Panchayat,Raipur Plains,Raipur,0.4631,1086.92,54.57,Bhuvan Gazette Verified (Offline Cached)
16,Tilda (E-5),Tilda (E-5) Village Zone,Tilda (E-5) Panchayat,Raipur Plains,Raipur,0.4562,950.9,26.86,Bhuvan Gazette Verified (Offline Cached)
17,Raipur Rural (C-5),Raipur Rural (C-5) Village Zone,Raipur Rural (C-5) Panchayat,Raipur Plains,Raipur,0.4501,977.59,29.36,Bhuvan Gazette Verified (Offline Cached)
18,Dharsiwa (D-4),Dharsiwa (D-4) Village Zone,Dharsiwa (D-4) Panchayat,Raipur Plains,Raipur,0.4456,861.85,16.44,Bhuvan Gazette Verified (Offline Cached)
19,Dharsiwa (D-1),Dharsiwa (D-1) Village Zone,Dharsiwa (D-1) Panchayat,Raipur Plains,Raipur,0.4428,824.7,87.97,Bhuvan Gazette Verified (Offline Cached)
20,Dharsiwa (D-2),Dharsiwa (D-2) Village Zone,Dharsiwa (D-2) Panchayat,Raipur Plains,Raipur,0.4384,706.23,22.75,Bhuvan Gazette Verified (Offline Cached)
21,Tilda (E-4),Tilda (E-4) Village Zone,Tilda (E-4) Panchayat,Raipur Plains,Raipur,0.4314,1142.31,14.95,Bhuvan Gazette Verified (Offline Cached)
22,Tilda (E-1),Tilda (E-1) Village Zone,Tilda (E-1) Panchayat,Raipur Plains,Raipur,0.4297,1242.17,57.92,Bhuvan Gazette Verified (Offline Cached)
23,Dharsiwa (D-3),Dharsiwa (D-3) Village Zone,Dharsiwa (D-3) Panchayat,Raipur Plains,Raipur,0.428,949.34,22.61,Bhuvan Gazette Verified (Offline Cached)
24,Tilda (E-3),Tilda (E-3) Village Zone,Tilda (E-3) Panchayat,Raipur Plains,Raipur,0.4207,1280.67,14.11,Bhuvan Gazette Verified (Offline Cached)
25,Tilda (E-2),Tilda (E-2) Village Zone,Tilda (E-2) Panchayat,Raipur Plains,Raipur,0.4143,1050.37,15.84,Bhuvan Gazette Verified (Offline Cached)
