sector_name,grid_row,grid_col,total_area_ha,bare_soil_ha,mean_risk_score,max_risk_score,high_risk_ha,pct_high_risk,mean_soc_dg_kg,mean_bsi,mean_ph,mean_clay_g_kg,priority_rank
Arang (B-1),1,0,1851.48,1154.19,0.6584,0.8048,946.32,81.99,12.02,0.1017,0.64,35.77,1
Abhanpur (A-1),0,0,1851.48,1136.79,0.6511,0.8425,900.97,79.26,22.74,0.125,1.24,70.11,2
Arang (B-2),1,1,1851.48,1108.71,0.633,0.8046,816.66,73.66,7.94,0.1078,0.43,22.3,3
Abhanpur (A-2),0,1,1851.48,576.84,0.6063,0.7988,363.36,62.99,67.95,0.0567,3.69,197.21,4
Raipur Rural (C-1),2,0,1851.48,780.63,0.5236,0.8041,243.89,31.24,99.76,0.1093,4.83,236.18,5
Raipur Rural (C-2),2,1,1851.48,931.19,0.514,0.8347,243.91,26.19,113.82,0.1513,5.31,275.98,6
Abhanpur (A-3),0,2,1851.48,743.79,0.511,0.8022,171.29,23.03,115.18,0.1394,5.91,320.29,7
Arang (B-3),1,2,1851.48,617.75,0.4938,0.8229,104.72,16.95,120.32,0.1428,6.35,328.88,8
Arang (B-4),1,3,1851.48,581.89,0.4833,0.7796,62.99,10.83,143.46,0.205,6.57,347.45,9
Raipur Rural (C-3),2,2,1851.48,635.74,0.4829,0.8563,63.88,10.05,129.1,0.168,6.57,345.69,10
Arang (B-5),1,4,1855.92,949.57,0.4728,0.8028,63.37,6.67,113.67,0.2468,5.9,328.04,11
Raipur Rural (C-4),2,3,1851.48,819.6,0.4718,0.8526,33.91,4.14,130.63,0.2319,6.89,373.52,12
Abhanpur (A-4),0,3,1851.48,821.26,0.4705,0.8137,47.96,5.84,122.18,0.2123,6.84,371.83,13
Dharsiwa (D-5),3,4,1855.92,771.47,0.4669,0.8042,35.51,4.6,134.98,0.1988,6.83,359.63,14
Abhanpur (A-5),0,4,1855.92,1086.92,0.464,0.8572,57.63,5.3,117.94,0.2373,6.3,358.82,15
Tilda (E-5),4,4,1868.46,950.9,0.4555,0.8032,26.24,2.76,120.48,0.2197,6.71,360.65,16
Raipur Rural (C-5),2,4,1855.92,977.59,0.4496,0.8601,32.01,3.27,130.84,0.2411,6.98,372.01,17
Dharsiwa (D-4),3,3,1851.48,861.85,0.445,0.8564,16.99,1.97,139.13,0.2149,7.03,373.05,18
Dharsiwa (D-1),3,0,1851.48,824.7,0.442,0.7801,89.87,10.9,153.68,0.1202,6.97,340.34,19
Dharsiwa (D-2),3,1,1851.48,706.23,0.4392,0.8447,24.34,3.45,152.46,0.1524,7.13,360.83,20
Tilda (E-4),4,3,1863.99,1142.31,0.4309,0.8509,14.28,1.25,148.99,0.2273,6.9,368.59,21
Tilda (E-1),4,0,1863.99,1242.17,0.4298,0.8406,63.09,5.08,148.69,0.1799,6.99,347.3,22
Dharsiwa (D-3),3,2,1851.48,949.34,0.4281,0.8465,23.92,2.52,151.27,0.2064,7.05,367.61,23
Tilda (E-3),4,2,1863.99,1280.67,0.4206,0.8596,15.07,1.18,172.42,0.2385,7.01,363.87,24
Tilda (E-2),4,1,1863.99,1050.37,0.4143,0.7907,18.69,1.78,160.79,0.1915,7.12,368.94,25
