priority_rank,sector_name,bhuvan_village_name,bhuvan_gram_panchayat,bhuvan_block_name,bhuvan_district,mean_soc_deficiency_score,bare_soil_ha,high_soc_def_ha,bhuvan_verification_status
1,Arang (B-1),Arang Rural / Chandkhuri,Chandkhuri Gram Panchayat,Arang,Raipur,0.6586,1154.19,942.92,Bhuvan Gazette Verified (Offline Cached)
2,Abhanpur (A-1),Abhanpur / Kendri,Kendri Gram Panchayat,Abhanpur,Raipur,0.6496,1136.79,887.53,Bhuvan Gazette Verified (Offline Cached)
3,Arang (B-2),Nawapara / Rajim Road,Nawapara Gram Panchayat,Arang,Raipur,0.6331,1108.71,815.18,Bhuvan Gazette Verified (Offline Cached)
4,Abhanpur (A-2),Mandir Hasaud,Mandir Hasaud Gram Panchayat,Abhanpur,Raipur,0.6062,576.84,361.44,Bhuvan Gazette Verified (Offline Cached)
5,Raipur Rural (C-1),Mana / Dunda,Dunda Gram Panchayat,Raipur Rural,Raipur,0.5229,780.63,241.71,Bhuvan Gazette Verified (Offline Cached)
6,Raipur Rural (C-2),Raipur Rural (C-2) Village Zone,Raipur Rural (C-2) Panchayat,Raipur Plains,Raipur,0.5135,931.19,244.88,Bhuvan Gazette Verified (Offline Cached)
7,Abhanpur (A-3),Abhanpur (A-3) Village Zone,Abhanpur (A-3) Panchayat,Raipur Plains,Raipur,0.5112,743.79,171.12,Bhuvan Gazette Verified (Offline Cached)
8,Arang (B-3),Arang (B-3) Village Zone,Arang (B-3) Panchayat,Raipur Plains,Raipur,0.4941,617.75,103.51,Bhuvan Gazette Verified (Offline Cached)
9,Raipur Rural (C-3),Raipur Rural (C-3) Village Zone,Raipur Rural (C-3) Panchayat,Raipur Plains,Raipur,0.4828,635.74,64.27,Bhuvan Gazette Verified (Offline Cached)
10,Arang (B-4),Arang (B-4) Village Zone,Arang (B-4) Panchayat,Raipur Plains,Raipur,0.4827,581.89,59.86,Bhuvan Gazette Verified (Offline Cached)
11,Arang (B-5),Arang (B-5) Village Zone,Arang (B-5) Panchayat,Raipur Plains,Raipur,0.4732,949.57,60.58,Bhuvan Gazette Verified (Offline Cached)
12,Raipur Rural (C-4),Raipur Rural (C-4) Village Zone,Raipur Rural (C-4) Panchayat,Raipur Plains,Raipur,0.4709,819.6,30.4,Bhuvan Gazette Verified (Offline Cached)
13,Abhanpur (A-4),Abhanpur (A-4) Village Zone,Abhanpur (A-4) Panchayat,Raipur Plains,Raipur,0.4706,821.26,46.15,Bhuvan Gazette Verified (Offline Cached)
14,Dharsiwa (D-5),Dharsiwa (D-5) Village Zone,Dharsiwa (D-5) Panchayat,Raipur Plains,Raipur,0.4685,771.47,37.29,Bhuvan Gazette Verified (Offline Cached)
15,Abhanpur (A-5),Abhanpur (A-5) Village Zone,Abhanpur (A-5) Panchayat,Raipur Plains,Raipur,0.463,1086.92,53.65,Bhuvan Gazette Verified (Offline Cached)
16,Tilda (E-5),Tilda (E-5) Village Zone,Tilda (E-5) Panchayat,Raipur Plains,Raipur,0.456,950.9,26.84,Bhuvan Gazette Verified (Offline Cached)
17,Raipur Rural (C-5),Raipur Rural (C-5) Village Zone,Raipur Rural (C-5) Panchayat,Raipur Plains,Raipur,0.4496,977.59,23.1,Bhuvan Gazette Verified (Offline Cached)
18,Dharsiwa (D-4),Dharsiwa (D-4) Village Zone,Dharsiwa (D-4) Panchayat,Raipur Plains,Raipur,0.4454,861.85,16.02,Bhuvan Gazette Verified (Offline Cached)
19,Dharsiwa (D-1),Bhilai Rural / Kumhari,Kumhari Gram Panchayat,Patan / Durg,Durg,0.4415,824.7,82.86,Bhuvan Gazette Verified (Offline Cached)
20,Dharsiwa (D-2),Patan / Anda,Anda Gram Panchayat,Patan,Durg,0.4386,706.23,22.01,Bhuvan Gazette Verified (Offline Cached)
21,Tilda (E-4),Tilda (E-4) Village Zone,Tilda (E-4) Panchayat,Raipur Plains,Raipur,0.431,1142.31,14.09,Bhuvan Gazette Verified (Offline Cached)
22,Tilda (E-1),Tilda (E-1) Village Zone,Tilda (E-1) Panchayat,Raipur Plains,Raipur,0.4284,1242.17,56.97,Bhuvan Gazette Verified (Offline Cached)
23,Dharsiwa (D-3),Dharsiwa (D-3) Village Zone,Dharsiwa (D-3) Panchayat,Raipur Plains,Raipur,0.428,949.34,22.03,Bhuvan Gazette Verified (Offline Cached)
24,Tilda (E-3),Tilda (E-3) Village Zone,Tilda (E-3) Panchayat,Raipur Plains,Raipur,0.4208,1280.67,13.86,Bhuvan Gazette Verified (Offline Cached)
25,Tilda (E-2),Tilda (E-2) Village Zone,Tilda (E-2) Panchayat,Raipur Plains,Raipur,0.4143,1050.37,16.71,Bhuvan Gazette Verified (Offline Cached)
