sector_name,grid_row,grid_col,total_area_ha,bare_soil_ha,mean_risk_score,max_risk_score,high_risk_ha,pct_high_risk,mean_soc_dg_kg,mean_bsi,mean_ph,mean_clay_g_kg,priority_rank
Arang (B-1),1,0,1851.48,1154.19,0.8372,0.9905,1026.9,88.97,12.02,0.1017,0.64,35.77,1
Abhanpur (A-1),0,0,1851.48,1136.79,0.8118,0.9671,995.64,87.58,22.74,0.125,1.24,70.11,2
Arang (B-2),1,1,1851.48,1108.71,0.7955,0.9671,936.18,84.44,7.94,0.1078,0.43,22.3,3
Abhanpur (A-2),0,1,1851.48,576.84,0.7409,0.9671,421.6,73.09,67.95,0.0567,3.69,197.21,4
Raipur Rural (C-1),2,0,1851.48,780.63,0.5845,0.9671,331.66,42.49,99.76,0.1093,4.83,236.18,5
Raipur Rural (C-2),2,1,1851.48,931.19,0.5678,0.9671,348.42,37.42,113.82,0.1513,5.31,275.98,6
Abhanpur (A-3),0,2,1851.48,743.79,0.5533,0.9671,251.4,33.8,115.18,0.1394,5.91,320.29,7
Arang (B-3),1,2,1851.48,617.75,0.5105,0.967,158.33,25.63,120.32,0.1428,6.35,328.88,8
Raipur Rural (C-3),2,2,1851.48,635.74,0.4815,0.967,113.14,17.8,129.1,0.168,6.57,345.69,9
Arang (B-4),1,3,1851.48,581.89,0.4693,0.967,89.86,15.44,143.46,0.205,6.57,347.45,10
Dharsiwa (D-5),3,4,1855.92,771.47,0.4375,0.967,58.78,7.62,134.98,0.1988,6.83,359.63,11
Dharsiwa (D-1),3,0,1851.48,824.7,0.4355,0.9667,130.62,15.84,153.68,0.1202,6.97,340.34,12
Abhanpur (A-4),0,3,1851.48,821.26,0.4354,0.9668,71.51,8.71,122.18,0.2123,6.84,371.83,13
Arang (B-5),1,4,1855.92,949.57,0.4324,0.967,72.39,7.62,113.67,0.2468,5.9,328.04,14
Abhanpur (A-5),0,4,1855.92,1086.92,0.4257,0.967,75.82,6.98,117.94,0.2373,6.3,358.82,15
Raipur Rural (C-4),2,3,1851.48,819.6,0.4253,0.9668,50.22,6.13,130.63,0.2319,6.89,373.52,16
Dharsiwa (D-2),3,1,1851.48,706.23,0.4097,0.9666,47.44,6.72,152.46,0.1524,7.13,360.83,17
Tilda (E-5),4,4,1868.46,950.9,0.4003,1.0,41.88,4.4,120.48,0.2197,6.71,360.65,18
Dharsiwa (D-4),3,3,1851.48,861.85,0.3872,0.9669,19.29,2.24,139.13,0.2149,7.03,373.05,19
Raipur Rural (C-5),2,4,1855.92,977.59,0.3846,0.9662,17.33,1.77,130.84,0.2411,6.98,372.01,20
Tilda (E-1),4,0,1863.99,1242.17,0.3844,1.0,91.99,7.41,148.69,0.1799,6.99,347.3,21
Dharsiwa (D-3),3,2,1851.48,949.34,0.3692,0.9666,32.27,3.4,151.27,0.2064,7.05,367.61,22
Tilda (E-4),4,3,1863.99,1142.31,0.3627,1.0,15.19,1.33,148.99,0.2273,6.9,368.59,23
Tilda (E-2),4,1,1863.99,1050.37,0.3506,1.0,26.64,2.54,160.79,0.1915,7.12,368.94,24
Tilda (E-3),4,2,1863.99,1280.67,0.3446,1.0,12.46,0.97,172.42,0.2385,7.01,363.87,25
